"Partners\Solvers","Partner RM","AIR-INK: Air-Pollution to ink","Aira","Algramo-Catalyzing Reusable Packaging","Blue Sky Analytics","CareMother","change:WATER Labs' iThrone: a waste-shrinking toilet","Dost Education","EarlyBird","Elpis Solar","Faircap Clean Water","Khushi Baby","Kinedu","Living First Languages Platform","Mobile Village-Based Rehabilitation-Initiative","MycoTech","OmniVis","OneSky Caregiver Training","POKET","Queen of Raw","RAAJI","BioCellection","Renewal Workshop","RETOS","RevelaGov","Rheaply","Salauno: Eye care for all","Shape-Up","Supercivicos app","Tabshoura Tiny Thinkers","The Future is Offline","WheeLog!","Xilinat"
"Aditya Birla Group","Alexander","110.0","111.0","11.0","1.0","2.0","2.0","1.0","0.0","12.0","2.0","1.0","200.0","4.0","1.0","12.0","1.0","101.0","12.0","12.0","0.0","12.0","111.0","11.0","13.0","111.0","3.0","1.0","12.0","1.0","12.0","14.0","13.0"
"BMW Foundation Herbert Quandt","Sharon","10.0","110.0","11.0","10.0","11.0","10.0","0.0","0.0","11.0","10.0","0.0","1.0","0.0","0.0","10.0","10.0","0.0","10.0","10.0","10.0","10.0","10.0","11.0","10.0","11.0","10.0","10.0","10.0","0.0","10.0","10.0","11.0"
"Buenos Aires Innovation Park (City of Buenos Aires Government)","Pooja","0.0","0.0","0.0","11.0","11.0","10.0","0.0","1.0","0.0","10.0","1.0","1.0","1.0","1.0","1.0","10.0","0.0","1.0","0.0","10.0","1.0","0.0","1.0","1.0","0.0","11.0","10.0","0.0","0.0","0.0","0.0","0.0"
"C L Sandberg & Associates","Sharon","1.0","0.0","1.0","12.0","12.0","12.0","2.0","0.0","2.0","13.0","1.0","1.0","4.0","2.0","2.0","11.0","2.0","3.0","2.0","11.0","3.0","1.0","2.0","4.0","1.0","13.0","111.0","3.0","1.0","2.0","4.0","3.0"
"Capital One","Sharon","101.0","110.0","1.0","3.0","3.0","2.0","4.0","102.0","12.0","3.0","2.0","102.0","5.0","3.0","3.0","1.0","2.0","16.0","102.0","1.0","103.0","101.0","13.0","14.0","101.0","4.0","101.0","13.0","1.0","13.0","13.0","3.0"
"Classroom Inc","Eliza","100.0","110.0","1.0","2.0","2.0","1.0","1.0","1.0","11.0","2.0","1.0","101.0","3.0","2.0","3.0","1.0","1.0","12.0","1.0","0.0","2.0","101.0","12.0","12.0","101.0","2.0","1.0","12.0","1.0","11.0","12.0","1.0"
"Corning Capital","Sharon","110.0","101.0","10.0","1.0","2.0","1.0","1.0","1.0","1.0","0.0","2.0","101.0","3.0","1.0","11.0","0.0","0.0","3.0","11.0","0.0","11.0","110.0","1.0","2.0","110.0","3.0","0.0","0.0","0.0","2.0","1.0","12.0"
"Covestro LLC","Sharon","110.0","100.0","11.0","1.0","1.0","1.0","1.0","0.0","1.0","2.0","0.0","100.0","2.0","1.0","12.0","1.0","1.0","1.0","11.0","0.0","11.0","111.0","1.0","1.0","111.0","1.0","1.0","2.0","1.0","1.0","2.0","11.0"
"Danaher","Pooja","100.0","100.0","1.0","11.0","11.0","111.0","11.0","110.0","100.0","111.0","10.0","110.0","12.0","11.0","1.0","11.0","11.0","101.0","100.0","10.0","100.0","101.0","1.0","1.0","100.0","12.0","110.0","1.0","11.0","1.0","1.0","2.0"
"DIGITAL CITIZEN FUND","Carlos","11.0","0.0","10.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","10.0","0.0","101.0","1.0","11.0","1.0","11.0","10.0","1.0","1.0","10.0","1.0","0.0","1.0","0.0","1.0","1.0","10.0"
"Draper Richards Kaplan Foundation","Pooja","10.0","1.0","11.0","12.0","13.0","12.0","12.0","12.0","102.0","112.0","12.0","11.0","14.0","12.0","13.0","11.0","11.0","105.0","12.0","10.0","12.0","11.0","2.0","4.0","11.0","13.0","11.0","2.0","11.0","2.0","3.0","13.0"
"Fannie Mae","Sharon","101.0","110.0","0.0","11.0","11.0","11.0","12.0","110.0","11.0","11.0","11.0","111.0","12.0","11.0","0.0","10.0","11.0","12.0","101.0","11.0","101.0","100.0","11.0","11.0","100.0","12.0","10.0","11.0","10.0","12.0","11.0","1.0"
"Gary Community Investments","Eliza","100.0","101.0","1.0","1.0","2.0","2.0","11.0","110.0","2.0","2.0","11.0","110.0","14.0","11.0","2.0","1.0","11.0","3.0","102.0","0.0","102.0","101.0","1.0","4.0","101.0","3.0","101.0","2.0","11.0","2.0","4.0","4.0"
"Grupo Salinas","Alexander","10.0","0.0","110.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","101.0","2.0","1.0","12.0","0.0","0.0","2.0","11.0","0.0","12.0","10.0","1.0","1.0","11.0","101.0","1.0","1.0","0.0","1.0","1.0","10.0"
"Heart Institute of the Caribbean","Pooja","0.0","0.0","101.0","11.0","11.0","11.0","1.0","0.0","1.0","12.0","0.0","100.0","2.0","1.0","2.0","11.0","1.0","2.0","1.0","10.0","1.0","1.0","1.0","2.0","1.0","111.0","11.0","2.0","1.0","1.0","2.0","2.0"
"Henkel (Charles Paul)","Sharon","110.0","1.0","11.0","12.0","13.0","12.0","0.0","101.0","1.0","11.0","2.0","101.0","4.0","2.0","12.0","11.0","1.0","3.0","111.0","10.0","112.0","111.0","2.0","5.0","110.0","14.0","110.0","1.0","1.0","1.0","3.0","14.0"
"Henkel","Sharon","111.0","1.0","11.0","3.0","4.0","3.0","4.0","102.0","103.0","3.0","3.0","202.0","7.0","3.0","13.0","1.0","2.0","7.0","213.0","1.0","114.0","111.0","3.0","6.0","111.0","6.0","1.0","3.0","1.0","4.0","5.0","15.0"
"IMPACT2030","Pooja","100.0","110.0","101.0","12.0","12.0","111.0","11.0","111.0","110.0","211.0","11.0","211.0","13.0","12.0","2.0","11.0","11.0","113.0","100.0","10.0","101.0","101.0","112.0","113.0","100.0","113.0","110.0","111.0","111.0","111.0","11.0","103.0"
"Innovation Norway","Pooja","10.0","11.0","11.0","12.0","13.0","12.0","0.0","1.0","111.0","11.0","2.0","101.0","3.0","2.0","12.0","11.0","1.0","12.0","111.0","10.0","11.0","11.0","12.0","13.0","10.0","13.0","10.0","11.0","1.0","11.0","12.0","12.0"
"Kevin Przybocki","Pooja","110.0","11.0","111.0","11.0","12.0","12.0","3.0","101.0","12.0","112.0","1.0","200.0","4.0","1.0","12.0","11.0","1.0","15.0","112.0","10.0","111.0","111.0","111.0","113.0","111.0","113.0","111.0","112.0","1.0","13.0","13.0","114.0"
"KSF Impact","Bruna","10.0","11.0","111.0","1.0","2.0","2.0","0.0","0.0","11.0","1.0","1.0","100.0","2.0","1.0","11.0","1.0","101.0","11.0","11.0","0.0","10.0","11.0","11.0","12.0","10.0","102.0","0.0","11.0","1.0","11.0","12.0","12.0"
"LLamasoft","Sharon","11.0","0.0","11.0","112.0","12.0","112.0","102.0","100.0","202.0","213.0","1.0","1.0","3.0","2.0","112.0","111.0","2.0","102.0","412.0","111.0","112.0","11.0","102.0","102.0","11.0","12.0","111.0","103.0","1.0","2.0","103.0","111.0"
"Mannin Research Inc.","Patrick","1.0","101.0","1.0","12.0","13.0","13.0","2.0","0.0","3.0","13.0","2.0","1.0","5.0","2.0","2.0","11.0","2.0","4.0","3.0","11.0","3.0","1.0","2.0","5.0","1.0","14.0","11.0","3.0","1.0","3.0","5.0","4.0"
"Maria Cecilia Souto Vidigal Foundation","Sara","100.0","0.0","100.0","1.0","1.0","0.0","11.0","111.0","0.0","100.0","11.0","211.0","12.0","11.0","101.0","0.0","110.0","3.0","200.0","0.0","101.0","100.0","101.0","102.0","100.0","102.0","0.0","100.0","10.0","1.0","100.0","102.0"
"Miniwiz","Alexander","111.0","110.0","10.0","11.0","11.0","11.0","3.0","100.0","112.0","12.0","1.0","201.0","3.0","1.0","11.0","10.0","1.0","14.0","212.0","11.0","112.0","110.0","11.0","12.0","111.0","12.0","11.0","12.0","0.0","13.0","12.0","12.0"
"MIT (Ken Zolot)","Carlos","10.0","10.0","11.0","1.0","1.0","1.0","1.0","0.0","11.0","2.0","0.0","0.0","2.0","1.0","12.0","1.0","1.0","12.0","11.0","0.0","11.0","11.0","11.0","12.0","11.0","1.0","101.0","12.0","1.0","11.0","12.0","12.0"
"MIT Environmental Solutions Initative (John Fernandez)","Alexander","211.0","0.0","110.0","111.0","111.0","111.0","103.0","101.0","201.0","211.0","101.0","301.0","102.0","101.0","110.0","110.0","101.0","104.0","411.0","111.0","111.0","110.0","101.0","102.0","110.0","112.0","110.0","101.0","100.0","102.0","101.0","112.0"
"MIT Governance Lab (GOV/LAB)","Carlos","0.0","10.0","1.0","0.0","1.0","100.0","1.0","0.0","111.0","200.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","111.0","0.0","0.0","0.0","0.0","111.0","110.0","1.0","1.0","0.0","110.0","0.0","11.0","10.0","102.0"
"New Orleans Health Department","Pooja","100.0","100.0","0.0","10.0","10.0","10.0","0.0","100.0","0.0","10.0","0.0","100.0","0.0","0.0","0.0","10.0","0.0","0.0","100.0","10.0","100.0","100.0","0.0","0.0","100.0","10.0","10.0","0.0","0.0","0.0","0.0","0.0"
"Northrop Grumman Corporation","Eliza","1.0","110.0","0.0","1.0","1.0","1.0","1.0","0.0","11.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","11.0","1.0","1.0","1.0","0.0","11.0","11.0","0.0","1.0","0.0","11.0","0.0","11.0","11.0","0.0"
"Putnam Associates","Pooja","200.0","100.0","1.0","12.0","112.0","11.0","1.0","1.0","0.0","11.0","101.0","201.0","3.0","102.0","2.0","11.0","1.0","2.0","0.0","10.0","1.0","101.0","2.0","2.0","100.0","13.0","10.0","1.0","1.0","1.0","1.0","2.0"
"Robert Wood Johnson Foundation","Pooja","100.0","100.0","1.0","11.0","11.0","11.0","2.0","0.0","1.0","12.0","0.0","100.0","3.0","1.0","2.0","11.0","1.0","2.0","1.0","10.0","1.0","101.0","1.0","1.0","101.0","12.0","11.0","2.0","1.0","2.0","2.0","2.0"
"Save the Children","Sara","200.0","100.0","100.0","0.0","100.0","0.0","11.0","10.0","1.0","1.0","110.0","310.0","111.0","110.0","1.0","0.0","110.0","1.0","1.0","0.0","1.0","100.0","0.0","0.0","101.0","100.0","1.0","1.0","110.0","101.0","1.0","0.0"
"Schmidt Marine Technology Partners","Sharon","210.0","11.0","111.0","111.0","112.0","112.0","101.0","100.0","211.0","211.0","101.0","300.0","103.0","101.0","111.0","111.0","101.0","112.0","411.0","110.0","110.0","111.0","111.0","112.0","110.0","113.0","110.0","111.0","101.0","112.0","112.0","113.0"
"Sitra","Alexander","10.0","0.0","11.0","1.0","1.0","1.0","1.0","1.0","200.0","101.0","0.0","100.0","1.0","1.0","11.0","1.0","1.0","102.0","110.0","0.0","10.0","11.0","1.0","2.0","10.0","1.0","0.0","1.0","101.0","100.0","1.0","12.0"
"Terranova Corporation","Pooja","110.0","110.0","110.0","10.0","10.0","10.0","0.0","0.0","10.0","10.0","0.0","300.0","0.0","0.0","10.0","10.0","0.0","11.0","10.0","10.0","10.0","110.0","10.0","11.0","110.0","110.0","10.0","10.0","0.0","10.0","10.0","11.0"
"The Kroger Co. Zero Hunger Zero Waste Foundation","Sharon","110.0","1.0","10.0","0.0","1.0","1.0","0.0","100.0","1.0","0.0","1.0","100.0","1.0","0.0","10.0","0.0","0.0","1.0","111.0","0.0","110.0","110.0","0.0","1.0","110.0","1.0","100.0","0.0","0.0","1.0","1.0","11.0"
"The Pershing Square Foundation","Eliza","110.0","10.0","111.0","1.0","1.0","1.0","2.0","1.0","10.0","1.0","0.0","200.0","2.0","1.0","11.0","1.0","101.0","13.0","10.0","0.0","10.0","111.0","11.0","12.0","110.0","102.0","0.0","11.0","1.0","11.0","11.0","13.0"
"Uber","Carlos","0.0","110.0","0.0","10.0","10.0","10.0","0.0","0.0","10.0","10.0","0.0","0.0","0.0","0.0","0.0","10.0","0.0","10.0","0.0","10.0","0.0","0.0","10.0","10.0","0.0","10.0","10.0","10.0","0.0","10.0","10.0","0.0"
"Yum! Brands","Sharon","10.0","0.0","11.0","12.0","12.0","11.0","1.0","102.0","100.0","11.0","1.0","1.0","2.0","2.0","112.0","11.0","1.0","3.0","310.0","10.0","111.0","11.0","2.0","3.0","10.0","12.0","110.0","1.0","1.0","0.0","101.0","12.0"
